,name_muni,private_school_type,geometry,size,education_level_others,urban,government_level,centroid_column,x,y
204805,Porto Alegre,Não Informado,POINT (-51.19275 -29.98028),Mais de 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.19275 -29.98028),-51.19275,-29.98028
204806,Porto Alegre,Não Informado,POINT (-51.20816 -30.07946),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.20816 -30.07946),-51.20816,-30.07946
204807,Porto Alegre,Não Informado,POINT (-51.16409 -30.03385),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.16409 -30.03385),-51.16409,-30.03385
204808,Porto Alegre,Não Informado,POINT (-51.22074 -30.14639),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.22074 -30.14639),-51.22074,-30.14639
204809,Porto Alegre,Não Informado,POINT (-51.16363 -30.04419),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.16363 -30.04419),-51.16363,-30.04419
204810,Porto Alegre,Não Informado,POINT (-51.22189 -30.06664),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.22189 -30.06664),-51.22189,-30.06664
204811,Porto Alegre,Não Informado,POINT (-51.11149 -30.20936),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.11149 -30.20936),-51.11149,-30.20936
204812,Porto Alegre,Não Informado,POINT (-51.22821 -30.16444),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.22821 -30.16444),-51.22821,-30.16444
204813,Porto Alegre,Não Informado,POINT (-51.1991 -30.07432),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.1991 -30.07432),-51.1991,-30.07432
204814,Porto Alegre,Não Informado,POINT (-51.22536 -30.08045),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.22536 -30.08045),-51.22536,-30.08045
204815,Porto Alegre,Não Informado,POINT (-51.17197 -30.06095),Entre 501 e 1000 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.17197 -30.06095),-51.17197,-30.06095
204816,Porto Alegre,Não Informado,POINT (-51.1614 -30.01881),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.1614 -30.01881),-51.1614,-30.01881
204817,Porto Alegre,Não Informado,POINT (-51.18347 -30.03662),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.18347 -30.03662),-51.18347,-30.03662
204818,Porto Alegre,Não Informado,POINT (-51.17662 -30.12056),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.17662 -30.12056),-51.17662,-30.12056
